[000:00:00;567] >>
[000:02:45;331] INSTANT.
[000:02:51;638] ♪ O SAY CAN YOU SEE
[000:02:53;139] >> Reporter: ON FOOTBALL FIELDS
[000:02:53;773] AROUND THE COUNTRY, PLAYERS
[000:02:55;208] UNITED IN PROTEST, MANY
[000:02:57;310] KNEELING, OTHERS LINKING ARMS,
[000:02:59;145] THEIR OWNERS AND COACHES JOINING
[000:03:01;281] THEM, TOO.
[000:03:04;050] FROM THE RAIDERS TO THE SAINTS,
[000:03:04;684] PLAYERS SAT IN SILENCE.
[000:03:07;687] IN NASHVILLE, EMPTY BENCHES.
[000:03:09;255] BOTH TEAMS, THE TITANS AND
[000:03:09;822] SEAHAWKS, STAYING THE LOCKER
[000:03:12;892] ROOM WHEN THE ANTHEM PLAYED.
[000:03:13;459] BUT THIS IMAGE OF STEELERS
[000:03:15;995] LINEMAN ALEJANDRO VILLANUEVA
[000:03:17;063] GOING VIRAL, TOO.
[000:03:18;097] THE ARMY VET WHO SERVED THREE
[000:03:20;700] TOURS IN AFGHANISTAN EMERGING
[000:03:23;069] FROM THE TUNNEL TO PLACE HIS
[000:03:24;871] HAND OVER HIS HEART, WHILE HIS
[000:03:25;505] TEAMMATES STAYED BEHIND.
[000:03:27;974] TONIGHT, HIS JERSEY SELLING MORE
[000:03:29;008] THAN ANY OTHER PLAYER IN THE
[000:03:29;609] NFL.
[000:03:31;611] THE PRESIDENT SAYS, THIS IS NOT
[000:03:33;246] ABOUT RACE.
[000:03:35;114] THIS HAS NOTHING TO DO WITH
[000:03:35;748] RACE OR ANYTHING ELSE.
[000:03:38;351] THIS HAS TO DO WITH RESPECT FOR
[000:03:39;986] OUR COUNTRY.
[000:03:40;987] >> Reporter: BUT TONIGHT, EVEN
[000:03:41;621] SOME OF HIS OWN FRIENDS ARE
[000:03:42;522] JOINING IN THE CHORUS OF
[000:03:45;291] CRITICS.
[000:03:47;126] PATRIOTS QUARTERBACK TOM BRADY
[000:03:49;262] AMONG THOSE LINKING ARMS, AND
[000:03:50;830] NOW, HE IS SPEAKING OUT.
[000:03:52;398] >> I CERTAINLY DISAGREE WITH,
[000:03:53;099] YOU KNOW, WHAT HE SAID, AND
[000:03:54;500] THOUGHT IT WAS JUST DIVISIVE.
[000:03:57;303] >> Reporter: PRESIDENT TRUMP'S
[000:03:59;072] CLOSE FRIEND, PATRIOTS OWNER BOB
[000:03:59;706] KRAFT, SAYS HE IS DEEPLY
[000:04:00;707] DISAPPOINTED WITH THE
[000:04:01;174] PRESIDENT'S TONE.
[000:04:03;309] AND FORMER NFL COACH REX RYAN, A
[000:04:05;912] TRUMP SUPPORTER, SAYS HE'S
[000:04:06;479] FURIOUS.
[000:04:08;014] >> I'M PISSED OFF, I'LL BE
[000:04:09;282] HONEST WITH YOU.
[000:04:12;685] YOU KNOW, BECAUSE I SUPPORTED
[000:04:13;286] DONALD TRUMP.
[000:04:14;220] BUT I'M READING THESE COMMENTS
[000:04:14;854] AND IT'S APPALLING TO ME.
[000:04:18;424] >> Reporter: IT ALL COMES ON THE
[000:04:20;994] HEELS OF THOSE PROTESTS IN
[000:04:21;561] CHARLOTTESVILLE -- WHITE
[000:04:23;062] SUPREMACISTS MCHARINWIG TH
[000:04:26;199] THERE WERE "VERY FINE PEOPLE" ON
[000:04:29;068] BOTH SIDES.
[000:04:29;836] DOES THE PRESIDENT BELIEVE THAT
[000:04:31;938] THERE ARE VERY FINE PEOPLE WHO
[000:04:33;273] KNEELED YESTERDAY WATCHING THOSE
[000:04:35;174] GAMES, OR ARE THEY ALL S.O.B.s?
[000:04:35;808] >> I THINK YOU'RE TRYING TO
[000:04:39;212] CONFLATE DIFFERENT THINGS HERE.
[000:04:41;080] LOOK, WE CERTAINLY RESPECT THE
[000:04:41;781] RIGHTS THAT PEOPLE HAVE, BUT I
[000:04:43;916] THINK WE ALSO NEED TO FOCUS.
[000:04:45;285] THIS IS ABOUT THE PRESIDENT
[000:04:45;852] BEING FOR SOMETHING, THIS IS
[000:04:49;088] ABOUT THE PRESIDENT BEING FOR
[000:04:51;157] RESPECT IN OUR COUNTRY, THROUGH
[000:04:51;791] SYMBOLS LIKE THE AMERICAN FLAG.
[000:04:54;260] >> CECILIA VEGA WITH US LIVE
[000:04:54;861] TONIGHT AT THE WHITE HOUSE.
[000:04:55;428] AND CECILIA, THE PRESIDENT
[000:04:56;863] TWEETING ABOUT SPORTS, ABOUT 20
[000:04:58;431] TIMES FROM OUR COUNT, SINCE
[000:05:00;500] SATURDAY.
[000:05:00;767] AND TODAY, THE WHITE HOUSE WAS
[000:05:02;602] ASKED, YOU KNOW, WITH NORTH
[000:05:03;169] KOREA, HEALTH CARE, THE
[000:05:04;170] HUMANITARIAN CRISIS IN PUERTO
[000:05:04;771] RICO, WHY DID THE PRESIDENT
[000:05:07;273] CHOOSE TO DO THIS?
[000:05:08;841] >> Reporter: WELL, DAVID, THE
[000:05:09;442] WHITE HOUSE SAYS THE PRESIDENT
[000:05:10;076] IS STANDING UP FOR PATRIOTISM,
[000:05:10;710] PLAIN AND SIMPLE.
[000:05:12;478] AND I'VE GOT TO TELL YOU,
[000:05:13;012] SOURCES HERE ARE STANDING BEHIND
[000:05:16;549] HIM, INSIDE THIS WEST WING.
[000:05:18;851] THEY BELIEVE MOST AMERICANS WILL
[000:05:21;254] SIDE WITH HIM ON THIS ONE.
[000:05:21;788] DAVID, THE PRESIDENT IS TWEETING
[000:05:22;422] RIGHT NOW, AGAIN, SAYING THAT
[000:05:23;022] THERE HAS BEEN TREMENDOUS
[000:05:23;556] BACKLASH AGAINST THE NFL.
[000:05:24;390] >> WE'VE SEEN THE DIVISION AMONG
[000:05:26;459] FANS AND SOME PLAYERS, AS WELL,
[000:05:28;027] CECILIA.
[000:05:29;195] YOU TOLD US ABOUT THE STEELERS
[000:05:31;164] PLAYER, THE ARMY VET WHO CAME
[000:05:32;198] OUT TO THE FIELD FOR THE ANTHEM.
[000:05:32;832] THE REST OF HIS TEAM WAS INSIDE.
[000:05:35;134] THE LOCKER ROOM.
[000:05:35;501] TONIGHT, HE SEEMS TO BE
[000:05:37;270] APOLOGIZING TO HIS TEAM FOR JUST
[000:05:38;971] INADVERTENTLY MAKING THEM FEEL
[000:05:39;605] BAD?
[000:05:41;174] >> Reporter: YEAH, DAVID, HE'S
[000:05:42;608] BASICALLY SAYING THIS WAS A
[000:05:43;176] MIXUP.
[000:05:44;711] HE DIDN'T MEAN TO BE SEPARATED
[000:05:45;345] FROM HIS TEAM OUT THERE ON THE
[000:05:45;978] FIELD.
[000:05:47;180] HE IS APOLOGIZING TO THE
[000:05:48;848] PLAYERS, TO THE COACH.
[000:05:49;315] HE SAYS THAT HE ACTUALLY
[000:05:50;383] SUPPORTS THE PROTESTERS WHO ARE
[000:05:51;017] EXERCISING THEIR FIRST AMENDMENT
[000:05:53;152] RIGHTS.
[000:05:53;553] WE ARE ALSO HEARING FROM THAT
[000:05:57;256] TEAM'S QUARTERBACK, DAVID,
[000:05:58;691] HE'S SPEAKING OUT, TOO,
[000:05:59;225] SAYING HE DIDN'T MEAN FOR THE
[000:06:00;860] T AAMTEHEPEM APO IS NEVER A TI
[000:06:01;361] TO PROTEST.
[000:06:03;429] >> CECILIA VEGA LEADING US OFF
[000:06:05;264] ON A MONDAY NIGHT.
[000:06:07;400] CECILIA, THANK YOU.
[000:06:07;867] >>> TODAY WAS SUPPOSED TO BE THE
[000:06:08;501] DAY WHEN NBA PLAYERS WERE ASKED
[000:06:09;135] ABOUT THE SEASON AHEAD.
[000:06:09;635] IT'S MEDIA DAY.
[000:06:10;002] INSTEAD, THEY WERE ASKED ABOUT
[000:06:11;337] THE PRESIDENT.
[000:06:11;671] AND AMONG THEM, LeBRON JAMES.
[000:06:14;607] TONIGHT, WHAT HE SAID, AND NOW,
[000:06:15;241] THE FANS IN THESE STADIUMS,
[000:06:17;310] SUDDENLY AT ODDS WITH ONE
[000:06:17;844] ANOTHER, TAKING SIDES.
[000:06:18;778] ABC'S SENIOR NATIONAL
[000:06:21;247] CORRESPONDENT MATT GUTMAN IN
[000:06:21;848] GLENDALE TONIGHT, WHERE THE
[000:06:22;415] COWBOYS PLAY THE CARDINALS.
[000:06:25;017] >> Reporter: TONIGHT,
[000:06:29;188] BASKETBALL'S ICON, LeBRON JAMES,
[000:06:31;224] KNEW THE QUESTIONS WOULD NOT BE
[000:06:32;625] ABOUT THE SEASON AHEAD, BUT
[000:06:33;993] ABOUT PRESIDENT TRUMP -- AND HE
[000:06:34;861] WAS READY.
[000:06:37;263] >> THE PEOPLE RUN THIS COUNTRY.
[000:06:37;897] NOT ONE INDIVIDUAL AND DAMN SURE
[000:06:39;766] NOT HIM.
[000:06:40;767] >> Reporter: IT WAS LeBRON JAMES
[000:06:41;401] WHO THIS WEEKEND SAID PRESIDENT
[000:06:43;870] TRUMP IS "NOW USING SPORTS AS
[000:06:44;470] THE PLATFORM TO TRY TO DIVIDE
[000:06:45;271] US."
[000:06:47;006] >> HE DOESN'T UNDERSTAND HOW
[000:06:51;677] MANY KIDS, NO MATTER THEIR RACE,
[000:06:52;311] LOOK UP TO THE PRESIDENT OF THE
[000:06:52;945] UNITED STATES.
[000:06:53;279] THAT'S WHAT MAKES ME MORE SICK
[000:06:54;280] THAN ANYTHING.
[000:06:54;614] >> Reporter: AND RESPONDING TO
[000:06:57;250] THE PRESIDENT'S CRITICISM THAT
[000:06:58;418] THOSE WHO KNEEL LACK RESPECT FOR
[000:06:59;252] THE FLAG.
[000:07:05;224] >> IT IS ABOUT EQUALITY AND
[000:07:05;792] PEOPLE HAVING THE OPTION AND THE
[000:07:09;262] FREEDOM TO SPEAK UPON THINGS
[000:07:11;297] THAT THEY FEEL THAT'S NOT JUST.
[000:07:11;998] >> Reporter: AND IN ADDITION TO
[000:07:12;999] FOOTBALL AND BASKETBALL, TODAY,
[000:07:16;102] THE PRESIDENT DRAWING IN NASCAR.
[000:07:17;136] >> WE ASK YOU THAT PLEASE RISE
[000:07:17;770] AND REMOVE YOUR HATS.
[000:07:21;274] >> Reporter: AFTER THE PRESIDENT
[000:07:22;875] TWEETED, "SO PROUD OF NASCAR AND
[000:07:23;509] ITS SUPPORTERS AND FANS, THEY
[000:07:25;244] WON'T PUT UP WITH DISRESPECTING
[000:07:26;012] OUR COUNTRY OR OUR FLAG," NASCAR
[000:07:28;080] ROYALTY, DALE EARNHARDT JR., NOT
[000:07:32;251] BUYING IT, TWEETING A QUOTE BY
[000:07:33;286] JOHN K. KENNEDY.
[000:07:33;786] OTHER SPORTS ICONS WEIGHING IN,
[000:07:34;821] LIKE HALL OF FAMER TERRY
[000:07:35;354] BRADSHAW.
[000:07:36;389] >> THIS IS AMERICA.
[000:07:37;256] IF OUR COUNTRY STANDS FOR
[000:07:37;957] ANYTHING, FOLKS, WHAT, IT'S
[000:07:38;991] FREEDOM.
[000:07:43;663] PEOPLE DIED FOR THAT FREEDOM.
[000:07:45;264] I'M NOT SURE IF OUR PRESIDENT
[000:07:47;266] UNDERSTANDS THOSE RIGHTS.
[000:07:47;834] >> Reporter: THE TYPICAL
[000:07:49;268] FRICTION BETWEEN PLAYERS, OWNERS
[000:07:51;504] AND LEAGUE BRASS MELTING AWAY.
[000:07:52;104] OWNERS LINKING ARMS WITH
[000:07:53;039] PLAYERS.
[000:07:55;107] BUT THE PRESIDENT'S WORDS AND
[000:07:56;676] THE PROTESTS THAT FOLLOWED ARE
[000:07:57;310] ALSO IGNITING NEW TENSIONS
[000:07:59;278] BETWEEN FANS.
[000:08:01;280] >> I HATE YOU!
[000:08:03;950] >> BOO!
[000:08:04;183] >> Reporter: NEW ENGLAND
[000:08:04;717] PATRIOTS FANS BOOING THE TEAM
[000:08:07;587] INCLUDING TOM BRADY, AS MEMBERS
[000:08:09;288] LINKED ARMS.
[000:08:10;189] AFTER MOST OF THE STEELERS
[000:08:11;357] STAYED IN THE LOCKER ROOM DURING
[000:08:15;394] THE NATIONAL ANTHEM, JIM HEENEY
[000:08:16;028] BURNED A MOUND OF STEELERS GEAR.
[000:08:16;929] >> I'M A LIFELONG STEELERS FAN.
[000:08:19;031] NOT ANYMORE.
[000:08:20;099] >> Reporter: DURING THE
[000:08:21;267] CAMPAIGN, THE PRESIDENT MADE
[000:08:21;868] THIS PREDICTION.
[000:08:24;737] >> BUT I THINK THE THING THAT
[000:08:25;338] WILL SURPRISE PEOPLE, I'LL BE A
[000:08:26;305] UNIFIER.
[000:08:27;874] I THINK I'LL BRING PEOPLE
[000:08:29;242] TOGETHER.
[000:08:29;942] AND THAT INCLUDES BLACKS AND
[000:08:31;010] WHITES AND EVERYTHING.
[000:08:31;511] >> Reporter: BUT TONIGHT, AS
[000:08:35;381] FANS HEAD INTO THE STADIUM, NO
[000:08:36;015] MATTER WHAT SIDE THEY ARE,
[000:08:37;216] PEOPLE TELLING US THE
[000:08:37;683] PRESIDENT'S MOST RECENT WORDS
[000:08:40;353] ARE NOT DRAWING OPPOSING SIDES
[000:08:41;287] ANY CLOSER.
[000:08:45;258] >> I FEEL LIKE IT'S GOING TO
[000:08:47;093] TURN INTO, LIKE, MORE LIKE WHITE
[000:08:47;727] VERSUS BLACK.
[000:08:49;262] >> MATT GUTMAN WITH US LIVE
[000:08:52;899] TONIGHT FROM GLENDALE, OUTSIDE
[000:08:53;533] THE CARDINALS/COWBOYS GAME.
[000:08:57;403] THE NFL COMMISSIONER, OF COURSE,
[000:08:58;037] WATCHING ALL OF THIS CLOSELY,
[000:08:58;905] AND NOW RESPONDING TO THE
[000:08:59;438] PROTESTS, MATT?
[000:08:59;805] >> Reporter: AND RESPONDING
[000:09:00;373] STRONGLY, DAVID.
[000:09:00;940] WRITING, "THE WAY WE REACTED
[000:09:01;541] THIS WEEKEND MADE ME PROUD."
[000:09:04;076] NOW, ODDLY ENOUGH, IT TOOK A
[000:09:05;278] CONTROVERSY OF THIS MAGNITUDE,
[000:09:07;713] AFTER YEARS OF FRICTION, TO
[000:09:08;281] FINALLY UNITE THE LEAGUE.
[000:09:09;248] DAVID?
[000:09:09;448] >> MATT GUTMAN WITH US LIVE
[000:09:10;016] TONIGHT.
[000:09:10;316] MATT, THANK YOU.
[000:09:12;385] >>> WE ARE ALSO FOLLOWING
[000:09:13;286] BREAKING NEWS RIGHT NOW FROM
[000:09:15;521] CAPITOL HILL IN THE SENATE'S
[000:09:17;056] LATEST EFFORT TO KILL OBAMACARE.
[000:09:17;690] REPUBLICANS COULD ONLY AFFORD TO
[000:09:18;658] LOSE ONE MORE VOTE, AND TONIGHT,
[000:09:20;726] IT APPEARS THEY'VE LOST IT.
[000:09:23;496] ALL OF THIS AS HUNDREDS OF
[000:09:24;931] PROTESTERS WORRIED ABOUT LOSING
[000:09:25;565] THEIR HEALTH INSURANCE PACKED
[000:09:27;466] THE HALLWAYS OF THE CAPITOL.
[000:09:29;035] THERE ARE MANY ARRESTS.
[000:09:29;535] ABC'S MARY BRUCE ON SENATOR
[000:09:31;103] COLLINS TONIGHT, WHO NOW SAYS
[000:09:32;171] NO.
[000:09:33;272] SO, IS THE EFFORT DEAD?
[000:09:35;408] MARY'S BACK ON THE HILL.
[000:09:38;945] >> Reporter: WITH PROTESTS
[000:09:40;479] MOUNTING TONIGHT, THE REPUBLICAN
[000:09:41;113] HEALTH CARE BILL APPEARS DOOMED
[000:09:45;251] TO FAIL.
[000:09:45;885] LATE WORD TONIGHT THAT MAINE
[000:09:47;053] SENATOR SUSAN COLLINS SAYS SHE
[000:09:48;754] IS A NO, MAKING HER THE THIRD
[000:09:50;656] SENATOR TO COME OUT AGAINST THE
[000:09:52;191] BILL.
[000:09:52;391] THE REPUBLICANS DO NOT HAVE THE
[000:09:53;492] VOTES.
[000:09:55;661] THE DRAMATIC MOVE COMES AFTER
[000:09:59;832] OPPOSITION TO THE REPUBLICAN
[000:10:00;866] G INTH CARE BILL CARROE
[000:10:03;636] HILL.
[000:10:03;836] >> NO CUTS FOR MEDICAID!
[000:10:05;738] >> Reporter: ANGER AND
[000:10:06;238] FRUSTRATION BOILING OVER.
[000:10:09;241] TODAY'S HEARING HAD JUST BEGUN
[000:10:09;875] WHEN THE CRIES RANG OUT.
[000:10:10;776] >> IF YOU WANT A HEARING, YOU
[000:10:11;377] BETTER SHUT UP.
[000:10:12;345] >> Reporter: AND OUTSIDE, CHAOS.
[000:10:14;947] >> MOVE AGAINST THE WALL!
[000:10:15;481] RIGHT NOW!
[000:10:15;982] MOVE AGAINST THE WALL!
[000:10:16;449] RIGHT NOW!
[000:10:19;619] >> Reporter: PROTESTER AFTER
[000:10:20;653] PROTESTER HAULED OFF AND
[000:10:21;354] ARRESTED, MANY IN WHEELCHAIRS.
[000:10:25;324] THIS MAN PHYSICALLY DRAGGED OUT.
[000:10:25;958] PEOPLE HAVE BEEN LINING UP HERE
[000:10:26;592] FOR HOURS.
[000:10:26;959] CHECK THIS OUT.
[000:10:27;426] THIS IS JUST THE BEGINNING.
[000:10:29;528] IT GOES ON AS FAR AS YOU CAN
[000:10:31;564] SEE.
[000:10:35;501] PAM WILLIS CAME ALL THE WAY FROM
[000:10:36;135] WYOMING.
[000:10:36;369] SHE SAYS THIS BILL IS A MATTER
[000:10:37;003] OF LIFE OR DEATH FOR HER
[000:10:39;972] DAUGHTER.
[000:10:41;240] WHAT'S THE MESSAGE THAT YOU WANT
[000:10:41;874] LAWMAKERS TO HEAR FROM YOU AND
[000:10:42;508] FROM EVERYBODY ELSE IN THIS
[000:10:43;075] LINE?
[000:10:43;275] >> BE HUMAN.
[000:10:43;576] CARE.
[000:10:45;244] CARE ABOUT INSURANCE FOR
[000:10:48;714] EVERYONE, NOT JUST YOURSELVES OR
[000:10:50;850] YOUR RELATIVES.
[000:10:52;351] CARE ABOUT EVERYONE.
[000:10:53;252] EVEN THE POOR.
[000:10:54;220] >> Reporter: OPPONENTS OF THE
[000:10:55;254] BILL, LIKE SENATORMcN OHCA, IN
[000:10:57;256] HAVE CALLED FOR AN OPEN AND
[000:10:59;425] BIPARTISAN PROCESS, BUT THIS IS
[000:11:00;059] THE ONE AND ONLY PUBLIC HEARING
[000:11:00;993] ON THE LATEST PLAN.
[000:11:03;596] THE WITNESS LIST, MOSTLY
[000:11:05;131] GOVERNMENT OFFICIALS, NOT
[000:11:05;665] AVERAGE AMERICANS.
[000:11:06;699] >> IT'S A FRAUD.
[000:11:08;267] IT'S A FAKE.
[000:11:09;268] IT'S JUST A FACADE.
[000:11:11;370] THEY DON'T WANT US TO TESTIFY.
[000:11:11;971] THEY DON'T WANT US TO BE HERE.
[000:11:12;938] >> Reporter: EARLIER TODAY, EVEN
[000:11:13;572] THE PRESIDENT SEEMED TO
[000:11:17;109] ACKNOWLEDGE DEFEAT.
[000:11:17;543] >> WE HAVE 52 VOTES, SO, WE
[000:11:18;110] CAN'T LOSE ANY VOTES.
[000:11:19;178] I MEAN, PRACTICALLY.
[000:11:21;781] SO, WE'RE GOING TO LOSE TWO OR
[000:11:23;349] THREE VOTES AND THAT'S THE END
[000:11:23;983] OF THAT.
[000:11:25;418] >> BOTTOM LINE, MARY BRUCE LIVE
[000:11:28;554] ON THE HILL, MARY, FIRST OF ALL,
[000:11:29;188] DOES THIS APPEAR TO BE DEAD,
[000:11:31;090] THIS EFFORT TONIGHT?
[000:11:31;991] AND WE ALSO KNOW THEY'VE BEEN
[000:11:33;392] TRYING TO DO THIS FOR SEVEN
[000:11:34;593] YEARS, THE REPUBLICAN PARTY HAS.
[000:11:36;095] THEY WANTED TO DO THIS WITH A
[000:11:37;129] SIMPLE MAJORITY, NOW THAT WILL
[000:11:37;763] NO LONGER BE AN OPTION?
[000:11:38;898] >> Reporter: WELL, DAVID, RIGHT
[000:11:40;266] NOW, THIS BILL IS GOING NOWHERE.
[000:11:41;500] WHICH MEANS IF REPUBLICANS WANT
[000:11:42;835] TO OVERHAUL OBAMACARE, THEY'RE
[000:11:44;970] LIKELY GOING TO HAVE TO WORK
[000:11:45;938] WITH DEMOCRATS.
[000:11:46;639] THEY'RE NOW GOING TO NEED 60
[000:11:48;574] VOTES, EVEN AFTER ALL THIS TIME,
[000:11:51;177] REPUBLICANS STILL CAN'T AGREE ON
[000:11:51;944] A PATH FORWARD.
[000:11:55;881] THE DIVIDES WITHIN THE
[000:11:56;482] REPUBLICAN PARTY SEEM SIMPLY TOO
[000:11:57;116] DEEP RIGHT NOW FOR THEM TO
[000:11:57;683] FULFILL THEIR SIGNATURE PROMISE
[000:11:58;484] TO THE AMERICAN PEOPLE.
[000:11:58;984] DAVID?
[000:12:01;087] >> ALL RIGHT, MARY.
[000:12:01;520] NOW IT BECOMES A TEST FOR BOTH
[000:12:04;657] PARTIES MOVING FORWARD.
[000:12:05;157] MARY, THANK YOU.
[000:12:05;558] >>> WE TURN NOW TO THE GROWING
[000:12:06;225] EMERGENCY UNFOLDING IN PUERTO
[000:12:07;259] RICO.
[000:12:08;294] THE GOVERNOR OF PUERTO RICO NOW
[000:12:09;261] BEGGING FOR HELP AFTER HURRICANE
[000:12:09;895] MARIA, CALLING THIS A, QUOTE,
[000:12:13;265] HUMANITARIAN DISASTER.
[000:12:15;034] 3.4 MILLION U.S. CITIZENS LIVE
[000:12:15;668] THERE.
[000:12:17;136] AND LOOK AT THIS SATELLITE IMAGE
[000:12:17;770] OF THE ISLAND, LIT UP IN JULY.
[000:12:18;671] AND NOW THIS IMAGE FROM THE
[000:12:20;239] MIDDLE OF THE NIGHT, JUST IN THE
[000:12:20;873] DAYS NOW AFTER MARIA STRUCK.
[000:12:23;509] MOST OF THE ISLAND IN DARKNESS.
[000:12:26;979] ABC'S EVA PILGRIM TONIGHT TAKING
[000:12:28;581] US FLYING OVER PUERTO RICO IN A
[000:12:29;215] HELICOPTER, AND YOU WILL SEE
[000:12:29;815] WHERE THE EYE OF THE HURRICANE
[000:12:33;252] HIT.
[000:12:33;419] >> Reporter: TONIGHT, NEW
[000:12:34;820] PICTURES OF THE DEVASTATION IN
[000:12:36;889] PUERTO RICO, AS THE ISLAND'S
[000:12:38;991] RNGOVE
