[000:00:00;583] THAT PLANE?
[000:05:40;023] THE MAN TAKING THIS VIDEO RAY
[000:05:41;591] PAGE TAKES HIM TO A MAKE-SHIFT
[000:05:42;225] TRIAGE CENTER.
[000:05:44;160] >> STAND RIGHT HERE.
[000:05:45;194] HE'S IN SHOCK.
[000:05:46;763] >> Reporter: IN THE DARK YOU
[000:05:48;331] HEAR HIM MUMBLE ABOUT HIS GUT.
[000:05:55;171] >> I GOT MY GUT HURTS THOUGH.
[000:05:56;739] >> Reporter: WHEN THE PEOPLE
[000:05:57;340] HELPING HIM PULL UP HIS SHIRT
[000:05:58;307] THAT LIGHT ILLUMINATES ANOTHER
[000:05:58;941] BULLET HOLE IN HIS CHEST.
[000:05:59;475] >> I DO GOT ONE?
[000:05:59;876] >> YEAH.
[000:06:01;411] >> Reporter: POLICE OFFICERS
[000:06:02;512] COMFORTING HIM, KEEPING HIM
[000:06:03;079] CALM.
[000:06:04;547] RAY PAGE THEN GOES TO GET HIS
[000:06:05;148] TRUCK.
[000:06:06;616] >> I'M GOING TO TRY TO FIND A
[000:06:07;216] MEDIC.
[000:06:07;650] I'LL BE RIGHT BACK.
[000:06:08;151] >> Reporter: WHEN HE RETURNS
[000:06:10;787] VICTIMS PILING INTO HIS PICKUP.
[000:06:12;955] RAY PAGE DELIVERING DOUG AND THE
[000:06:14;924] OTHERS TO SAFETY.
[000:06:16;492] AND IT WOULD BE 14 AGONIZING
[000:06:19;862] HOURS UNTIL DOUG WAS REUNITED
[000:06:20;663] WITH HIS FAMILY.
[000:06:21;164] DID YOU KNOW HE WAS HIT?
[000:06:24;667] >> I HAD NO IDEA UNTIL 12:00 THE
[000:06:25;868] NEXT DAY WHEN WE FOUND HIM IN
[000:06:26;469] THE HOSPITAL.
[000:06:27;437] >> Reporter: TONIGHT HIS SON IS
[000:06:30;039] THANKFUL TO THE HEROES WHO SAVED
[000:06:30;673] HIS DAD.
[000:06:33;676] >> JUST AMAZING THERE WAS
[000:06:34;210] SOMEBODY THERE TO HELP MY DAD
[000:06:37;313] AND HE WAS -- I THOUGHT HE WAS
[000:06:37;947] ON THE STREET SOMEWHERE.
[000:06:38;481] I HAD NO IDEA.
[000:06:41;517] >> MATT POLICE ARE CALLING THAT
[000:06:43;019] SECURITY GUARD A TRUE HERO.
[000:06:46;155] >> Reporter: THAT'S RIGHT.
[000:06:48;257] POLICE ARE SAYING AS THAT GUARD
[000:06:49;258] NEARED THE DOOR IT DIVERTED HIS
[000:06:50;827] ATTENTION FROM THE CROWD TO THE
[000:06:52;361] HALLWAY.
[000:06:53;463] HE BEGAN FIRING WILDLY INTO IT
[000:06:56;666] INJURING THAT SECURITY GUARD.
[000:06:57;600] SOMEHOW THAT GUARD MANAGED TO
[000:07:00;670] GET AWAY AND ALERT AUTHORITIES.
[000:07:01;304] HE'S BEING HAILED AS A HERO AS
[000:07:02;772] THE CITY CONTINUES TO MOURN.
[000:07:04;340] THERE HAVE BEEN THOUSANDS OF
[000:07:05;908] PEOPLE HERE AT THIS MEMORIAL
[000:07:07;577] SITE ALL DAY DAVID.
[000:07:11;114] >> ALSO TONIGHT, WHAT WAS
[000:07:12;715] WRITTEN ON A NOTE FOUND IN THE
[000:07:14;784] GUNMAN'S HOTEL ROOM AS WE
[000:07:16;352] LEARNED HOW MUCH THE GUNMAN MADE
[000:07:19;922] IN THE DAYS BEFORE THE ATTACK
[000:07:20;656] AND THE MILLIONS HE MADE IN JUST
[000:07:21;290] ONE YEAR.
[000:07:24;160] HERE'S BRIAN ROSS.
[000:07:26;762] >> Reporter: SHE JUST RETURNED
[000:07:28;831] TO THE US FROM THE PHILIPPINES
[000:07:29;899] TWO DAYS AGO, BUT TONIGHT
[000:07:30;967] FEDERAL AUTHORITIES HAVE PUT A
[000:07:36;105] CLOSE WATCH ON MARILOU DANLEY TO
[000:07:36;739] MAKE SURE SHE DOESN'T TRY TO
[000:07:37;340] LEAVE THE COUNTRY AS THEY
[000:07:37;874] STRUGGLE TO FIND THE MOTIVE
[000:07:38;808] BEHIND HER BOYFRIEND'S CRIME.
[000:07:40;243] >> WE HAVE NO CREDIBLE
[000:07:42;345] INFORMATION TO REPORT TO YOU AS
[000:07:42;979] TO MOTIVATION.
[000:07:45;448] >> Reporter: FBI AGENTS AND
[000:07:46;482] POLICE SAY THEY ARE SKEPTICAL OF
[000:07:48;584] DANLEY'S CLAIMS THAT SHE KNEW
[000:07:49;619] NOTHING ABOUT THE PLANS OF HER
[000:07:50;653] LONGTIME BOYFRIEND
[000:07:52;655] STEPHEN PADDOCK.
[000:07:54;891] BUT A FAMILY FRIEND WHO VISITED
[000:07:56;459] THEM IN NEVADA SAY THAT COULD
[000:07:57;994] WELL BE TRUE, THAT SHE WAS
[000:07:58;594] SUBSERVIENT TO HIM.
[000:08:00;563] >> IT'S NOT WHAT I SAW AS A
[000:08:04;200] LOVING, CARING RELATIONSHIP.
[000:08:06;269] >> Reporter: ADAM LEFEVRE TOLD
[000:08:07;904] AN AUSTRALIAN TV STATION HE
[000:08:09;071] SPENT A WEEK WITH THE COUPLE IN
[000:08:12;108] NEVADA IN 2015, STAYING WITH
[000:08:14;076] THEM IN A LUXURY CASINO SUITE,
[000:08:17;346] AND LATER AT HIS HOME, WHERE
[000:08:18;281] PADDOCK SHOWED OFF WHAT HE
[000:08:18;848] CALLED HIS GUN ROOM.
[000:08:20;816] >> HE WAS VERY STRICT AND VERY
[000:08:24;654] FIRM ON THE FACT THAT IT IS A
[000:08:25;254] RIGHT, IT IS A CAPACITY, AND IT
[000:08:26;055] IS THE FREEDOM OF EVERY AMERICAN
[000:08:28;124] RESIDENT AND PERSON TO
[000:08:30;726] PARTICIPATE, TO OWN A GUN AND
[000:08:33;329] USE IT AS SEEN FIT WHEN NEED BE.
[000:08:35;398] AND THAT LAW SHOULD NEVER BE
[000:08:35;998] CHANGED.
[000:08:36;666] >> Reporter: LATE TODAY
[000:08:37;166] AUTHORITIES CONFIRMED REPORTS
[000:08:39;068] THE SHOOTER LEFT BEHIND SOME
[000:08:41;637] KIND OF A NOTE, WHICH
[000:08:42;104] AUTHORITIES SAY CONTAINED A
[000:08:44;774] SERIES OF CRYPTIC NUMBERS, BUT
[000:08:45;408] WAS NOT A SUICIDE NOTE.
[000:08:47;376] OFFICIALS ARE TRACKING EVERY
[000:08:50;112] ASPECT OF HIS LIFE, BACK TO HIGH
[000:08:50;746] SCHOOL IN LOS ANGELES AND
[000:08:52;615] EARLIER, AND HIS RECENT
[000:08:53;115] PRESCRIPTIONS FOR VALIUM.
[000:08:55;184] >> WE ARE LOOKING AT EVERY
[000:08:56;219] ASPECT FROM BIRTH TO DEATH OF
[000:08:57;787] THIS SUSPECT IN THIS CASE.
[000:08:59;322] >> Reporter: IN THE FINAL DAYS
[000:09:01;424] BEFORE THE SHOOTING, OFFICIALS
[000:09:03;526] TELL ABC NEWS HE WAS IN THE
[000:09:06;662] COMPANY OF PROSTITUTES AND WENT
[000:09:07;296] GAMBLING IN THE MANDALAY BAY
[000:09:09;198] CASINO, WINNING BIG JACKPOTS ON
[000:09:12;668] BOTH FRIDAY AND SATURDAY NIGHTS.
[000:09:14;203] >>> BRIAN YOU WERE SAYING
[000:09:16;005] STEPHEN PADDOCK CALLED HIMSELF A
[000:09:16;639] PROFESSIONAL GAMBLER.
[000:09:17;540] AND YOU'RE LEARNING HOW MUCH HE
[000:09:19;108] MADE IN ONE YEAR ALONE?
[000:09:21;711] >> IN THE YEAR 2015 HE REPORTED
[000:09:24;814] INCOME OF $5 MILLION.
[000:09:26;382] >> AND NO MOTIVE?
[000:09:26;916] >> THAT'S RIGHT.
[000:09:28;718] >> BRIAN, THANKS.
[000:09:30;019] I HOPE EVERYONE WILL JOIN US FOR
[000:09:31;587] AN ABC NEWS "20/20" DOCUMENTARY
[000:09:33;155] PRESENTATION ON THE LAS VEGAS
[000:09:34;757] MASSACRE, HEARTBREAK AND HEROES.
[000:09:38;361] WE HAVE NEW REPORTING TONIGHT AT
[000:09:39;895] 10:00 EASTERN/9:00 CENTRAL.
[000:09:41;964] >>> IN THE MEANTIME, NEXT TO THE
[000:09:43;599] WHITE HOUSE TONIGHT PRESIDENT
[000:09:44;567] TRUMP RAISING NEW QUESTIONS
[000:09:46;135] AFTER WHAT HE SAID DURING A
[000:09:47;703] PHOTO-OP SUMMONING REPORTERS
[000:09:50;206] TELLING THEM THIS WAS THE CALM
[000:09:50;840] BEFORE THE STORM.
[000:09:53;476] CECELIA VEGA ASKING THE WHITE
[000:09:54;443] HOUSE WHAT DID HE MEAN.
[000:09:58;080] >> Reporter: IN THE STATE DINING
[000:09:58;714] ROOM, THIS IS THE IMAGE
[000:10:00;683] PRESIDENT TRUMP SUMMONED
[000:10:02;251] REPORTERS TO SEE -- THE
[000:10:03;819] PRESIDENT SMILING, SURROUNDED BY
[000:10:05;388] HIS TOP MILITARY LEADERS AND
[000:10:05;988] THEIR SPOUSES.
[000:10:08;591] THEN CAME THE UNSOLICITED,
[000:10:09;158] CRYPTIC COMMENT.
[000:10:11;627] >> DO YOU GUYS KNOW WHAT THIS
[000:10:12;695] REPRESENTS?
[000:10:12;995] >> TELL US, SIR.
[000:10:14;230] >> MAYBE IT'S THE CALM BEFORE
[000:10:14;830] THE STORM.
[000:10:16;832] >> WHAT'S THE STORM?
[000:10:18;901] >> COULD BE THE CALM -- THE CALM
[000:10:19;535] BEFORE THE STORM.
[000:10:24;607] >> WHAT STORM, MR. PRESIDENT?
[000:10:27;743] >> WE HAVE THE WORLD'S GREAT
[000:10:28;344] MILITARY PEOPLE.
[000:10:28;778] I WILL TELL YOU THAT.
[000:10:32;948] THANK YOU ALL FOR COMING.
[000:10:33;482] THANK YOU.
[000:10:35;551] >> WHAT STORM MR. PRESIDENT?
[000:10:36;619] >> YOU'LL FIND OUT.
[000:10:40;222] >> Reporter: AND TODAY IN THE
[000:10:40;823] OVAL OFFICE, WE TRIED AGAIN.
[000:10:41;390] >> MR. PRESIDENT, WHAT DID YOU
[000:10:42;825] MEAN BY "CALM BEFORE THE STORM"?
[000:10:45;428] YESTERDAY WHAT DID YOU MEAN BY
[000:10:46;062] THAT?
[000:10:46;262] >> THANK YOU VERY MUCH.
[000:10:46;762] >> Reporter: AFTER A WINK, AND A
[000:10:47;396] PAUSE --
[000:10:49;065] >> YOU'LL FIND OUT.
[000:10:50;633] >> Reporter: THE COMMENT
[000:10:52;668] ESPECIALLY OMINOUS AS THE UNITEO
[000:10:54;987] ST
[000:10:56;339] WORDS WITH NORTH KOREA, AND THE
[000:10:56;972] PRESIDENT IS ON THE VERGE OF
[000:10:58;441] DECERTIFYING THE NUCLEAR DEAL
[000:10:59;041] WITH IRAN.
[000:11:04;080] >> WAS HE REFERRING TO MILITARY
[000:11:05;648] ACTION WHEN HE SAID CALM BEFORE
[000:11:07;116] THE STORM?
[000:11:10;486] >> WE'RE NEVER GOING TO SAY IN
[000:11:11;120] ADVANCE WHAT THE PRESIDENT IS
[000:11:11;721] GOING TO DO.
[000:11:12;054] >> HOW SERIOUSLY SHOULD THE
[000:11:12;655] AMERICAN PUBLIC OR AMERICAN
[000:11:13;222] ADVERSARIES FOR THAT MATTER TAKE
[000:11:13;856] THESE COMMENTS?
[000:11:14;657] IS HE SERIOUS?
[000:11:15;191] >> I THINK YOU CAN TAKE THE
[000:11:17;793] PRESIDENT PROTECTING THE
[000:11:19;362] AMERICAN PEOPLE ALWAYS EXTREMELY
[000:11:20;396] SERIOUS AND IF HE FEELS THAT
[000:11:21;964] ACTION IS NECESSARY, HE'LL TAKE
[000:11:22;598] IT.
[000:11:24;533] >> CECELIA VEGA PRESSING THE
[000:11:26;268] WHITE HOUSE TODAY.
[000:11:27;169] IN THE MEANTIME, WE ALSO KNOW
[000:11:28;204] THE ADMINISTRATION IS MOVING
[000:11:31;807] FORWARD TODAY ON A ROLLBACK OF
[000:11:32;441] AN OBAMACARE MANDATE REQUIRING
[000:11:33;442] EMPLOYEE COVERAGE OF BIRTH
[000:11:36;512] CONTROL, 55 MILLION WOMEN HAVE
[000:11:38;614] ACCESS TO WITHOUT A COPAYMENT
[000:11:42;218] AND NOW SOME EXCEPTIONS?
[000:11:42;718] >> Reporter: EMPLOYERS WILL NO
[000:11:43;786] LONGER OFFER THESE INSURANCE
[000:11:46;956] PLANS THAT COVER BIRTH CONTROL.
[000:11:47;590] IF THEY CLAIM IT VIOLATES
[000:11:52;762] MORAL CONVICTIONS OR
[000:11:54;096] RELIGIOUS BELIEFS IT TAKES
[000:11:54;663] EFFECT IMMEDIATELY.
[000:11:55;131] DEMOCRATS ARE CALLING THIS A NEW
[000:11:56;198] LOW AND REPUBLICANS ARE CHEERING
[000:11:56;832] THIS AS THE PRESIDENT MAKING
[000:11:57;433] GOOD ON A CAMPAIGN PROMISE.
[000:11:59;802] >> TO PUERTO RICO.
[000:12:00;870] NEW NUMBERS FROM FEMA.
[000:12:02;972] MORE THAN TWO WEEKS AFTER THE
[000:12:05;040] STORM JUST 10% OF THE ISLAND HAS
[000:12:07;610] ELECTRICITY BACK AND MORE THAN
[000:12:10;746] HALF HAS DRINKABLE WATER.
[000:12:15;818] PRESIDENT TRUMP MARKING HISPANIC
[000:12:20;322] HERITAGE MONTH TODAY STRESSING
[000:12:20;956] THE
[000:12:21;490] FEDERAL GOVERNMENT'S COMMITMENT
[000:12:22;124] AND PRONOUNCING PUERTO RICO THIS
[000:12:23;025] WAY.
[000:12:23;192] >> WE ARE ALSO PRAYING FOR THE
[000:12:23;826] PEOPLE OF PUERTO RICO.
[000:12:24;293] WE LOVE PUERTO RICO.
[000:12:27;730] PUERTO RICO.
[000:12:29;799] >> WE LOVE YOU.
[000:12:31;367] >> AND WE ALSO LOVE PUERTO RICO.
[000:12:37;740] >> THE PRESIDENT AT THE WHITE
[000:12:38;340] HOUSE TODAY.
[000:12:39;909] TO A POLICE INVOLVED SHOOTING
[000:12:40;509] DEATH IN CHARLOTTE.
[000:12:42;511] AUTHORITIES SAY A TRAGIC
[000:12:43;045] MISUNDERSTANDING THAT LEFT ONE
[000:12:43;679] MAN DEAD.
[000:12:45;614] HERE'S PIERRE THOMAS TONIGHT.
[000:12:48;250] >> Reporter: TONIGHT NEWLY
[000:12:50;319] RELEASED VIDEO FROM A FATAL
[000:12:50;886] POLICE SHOOTING IN CHARLOTTE
[000:12:53;422] REVEALING HOW LIFE AND DEATH
[000:12:56;292] SITUATIONS PLAY OUT IN SECONDS.
[000:12:58;127] EARLY LAST MONTH POLICE RESPOND
[000:13:00;196] AFTER RECEIVING A 911 CALL FROM
[000:13:02;264] A SPANISH SPEAKING MAN WHO
[000:13:03;299] CLAIMS HE WANTS TO TURN HIMSELF
[000:13:06;469] IN, TELLING THE 911 DISPATCHER I
[000:13:08;003] CALLED YOU TO COME FOR ME.
[000:13:10;072] HE ACKNOWLEDGES HE HAS A GUN BUT
[000:13:15;711] SAYS IT'S EMPTY.
[000:13:16;712] WITH WORD OF A
[000:13:18;714] FIREARM, OFFICERS DON'T TAKE HIS
[000:13:19;348] WORD BUT THE GUN WON'T BE
[000:13:19;882] LOADED.
[000:13:20;115] THEY MOVE IN GUNS DRAWN.
[000:13:20;616] >> DROP THE GUN.
[000:13:21;016] >> DROP THE GUN.
[000:13:21;417] >> Reporter: THEN LESS THAN A
[000:13:23;953] MINUTE ENDS THE LIFE OF RUBIN
[000:13:24;987] GALINDO.
[000:13:27;122] HE STEPS OUT, HIS HANDS IN THE
[000:13:27;756] AIR.
[000:13:29;692] POLICE SEE A GUN.
[000:13:30;092] [ SHOTS FIRED ]
[000:13:34;330] THE GUN WAS IN FACT EMPTY.
[000:13:35;898] FAMILY MEMBERS CONCERNED THAT
[000:13:37;967] THE OFFICERS ACTED TOO QUICKLY.
[000:13:40;669] POLICE CHIEF IS STANDING BY HIS
[000:13:43;706] MEN AND UP TO A PROSECUTOR
[000:13:44;306] INVESTIGATING THE CASE.
[000:13:44;807] DAVID.
[000:13:48;878] >> FROM THE PENTAGON, A FOURTH
[000:13:50;446] U.S. SPECIAL OPERATIONS SOLDIER
[000:13:53;582] HAS DIED AND HIS IDENTITY NOT
[000:13:55;117] REVEALED BUT THE FACES OF THE
[000:13:58;254] THREE OTHERS WHO DIED THERE.
[000:13:59;288] STAFF SERGEANT BRIAN BLATT FROM
